year,county,Hospital,OSHPDID,Surgery,# of Cases (ICD 9),# of Cases (ICD 10),LATITUDE,LONGITUDE
2013,,Statewide,,COLON,7128,,,
2013,,Statewide,,BLADDER,892,,,
2013,,Statewide,,RECTUM,2128,,,
2013,,Statewide,,BREAST,25829,,,
2013,,Statewide,,BRAIN,2719,,,
2013,,Statewide,,PANCREAS,819,,,
2013,,Statewide,,LUNG,3145,,,
2013,,Statewide,,LIVER,1159,,,
2013,,Statewide,,ESOPHAGUS,337,,,
2013,,Statewide,,STOMACH,1010,,,
2013,,Statewide,,PROSTATE,6145,,,
2013,Alameda,Alameda Hospital,106010735,STOMACH,1,,37.762953,-122.25362
2013,Alameda,Alameda Hospital,106010735,COLON,3,,37.762953,-122.25362
2013,Alameda,Alameda Hospital,106010735,BREAST,2,,37.762953,-122.25362
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,BRAIN,8,,37.85633,-122.25784
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,COLON,12,,37.85633,-122.25784
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,PROSTATE,4,,37.85633,-122.25784
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,ESOPHAGUS,1,,37.85633,-122.25784
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,BREAST,95,,37.85633,-122.25784
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,RECTUM,2,,37.85633,-122.25784
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,LUNG,6,,37.85633,-122.25784
2013,Alameda,Highland Hospital,106010846,STOMACH,3,,37.79917,-122.2312
2013,Alameda,Highland Hospital,106010846,PANCREAS,1,,37.79917,-122.2312
2013,Alameda,Highland Hospital,106010846,RECTUM,6,,37.79917,-122.2312
2013,Alameda,Highland Hospital,106010846,LUNG,12,,37.79917,-122.2312
2013,Alameda,Highland Hospital,106010846,ESOPHAGUS,2,,37.79917,-122.2312
2013,Alameda,Highland Hospital,106010846,COLON,22,,37.79917,-122.2312
2013,Alameda,Highland Hospital,106010846,BREAST,34,,37.79917,-122.2312
2013,Alameda,Highland Hospital,106010846,BRAIN,1,,37.79917,-122.2312
2013,Alameda,Highland Hospital,106010846,PROSTATE,8,,37.79917,-122.2312
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,BREAST,293,,37.82425,-122.25792
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,COLON,74,,37.82425,-122.25792
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,RECTUM,24,,37.82425,-122.25792
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,LIVER,13,,37.82425,-122.25792
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,PROSTATE,59,,37.82425,-122.25792
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,BLADDER,21,,37.82425,-122.25792
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,STOMACH,14,,37.82425,-122.25792
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,ESOPHAGUS,14,,37.82425,-122.25792
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,LUNG,46,,37.82425,-122.25792
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,PANCREAS,12,,37.82425,-122.25792
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,ESOPHAGUS,1,,37.62593,-122.09338
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,PROSTATE,2,,37.62593,-122.09338
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,BREAST,194,,37.62593,-122.09338
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,STOMACH,7,,37.62593,-122.09338
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,LIVER,10,,37.62593,-122.09338
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,RECTUM,19,,37.62593,-122.09338
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,COLON,43,,37.62593,-122.09338
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,BLADDER,9,,37.62593,-122.09338
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,PANCREAS,6,,37.62593,-122.09338
2013,Alameda,Kaiser Foundation Hospital – Hayward,106010858,LUNG,21,,37.62593,-122.09338
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,RECTUM,14,,37.82106,-122.26257
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,LUNG,22,,37.82106,-122.26257
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,COLON,43,,37.82106,-122.26257
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,PANCREAS,10,,37.82106,-122.26257
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,STOMACH,11,,37.82106,-122.26257
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,LIVER,7,,37.82106,-122.26257
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,BREAST,208,,37.82106,-122.26257
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,ESOPHAGUS,2,,37.82106,-122.26257
2013,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,PROSTATE,19,,37.82106,-122.26257
2013,Alameda,Saint Rose Hospital,106010967,LIVER,1,,37.63291,-122.08962
2013,Alameda,Saint Rose Hospital,106010967,PROSTATE,1,,37.63291,-122.08962
2013,Alameda,Saint Rose Hospital,106010967,BREAST,17,,37.63291,-122.08962
2013,Alameda,Saint Rose Hospital,106010967,BLADDER,1,,37.63291,-122.08962
2013,Alameda,Saint Rose Hospital,106010967,RECTUM,3,,37.63291,-122.08962
2013,Alameda,Saint Rose Hospital,106010967,COLON,7,,37.63291,-122.08962
2013,Alameda,Washington Hospital – Fremont,106010987,BREAST,39,,37.55847,-121.98006
2013,Alameda,Washington Hospital – Fremont,106010987,RECTUM,5,,37.55847,-121.98006
2013,Alameda,Washington Hospital – Fremont,106010987,LUNG,3,,37.55847,-121.98006
2013,Alameda,Washington Hospital – Fremont,106010987,ESOPHAGUS,1,,37.55847,-121.98006
2013,Alameda,Washington Hospital – Fremont,106010987,PROSTATE,3,,37.55847,-121.98006
2013,Alameda,Washington Hospital – Fremont,106010987,BRAIN,7,,37.55847,-121.98006
2013,Alameda,Washington Hospital – Fremont,106010987,COLON,24,,37.55847,-121.98006
